instance_folder,noise_factor,method,time_limit,feasibility,obj,time_offline,time_online,start_times,real_durations
j10,1,proactive_robust,600,False,inf,0.061823368072509766,inf,"[0, 0, 0, 2, 7, 9, 13, 13, 24, 20, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70]","""[0, 5, 1, 12, 2, 1, 12, 9, 10, 7, 3, 70, 66, 45, 53, 15, 50, 37, 70, 33, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 5, 1, 12, 2, 1, 12, 9, 10, 7, 3, 70, 66, 45, 53, 15, 50, 37, 70, 33, 0]"
j10,1,stnu,600,True,35,0.45471835136413574,0.007965087890625,"[0, 0, 0, 1, 5, 7, 13, 8, 25, 16, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35]","""[0, 5, 1, 12, 2, 1, 12, 9, 10, 7, 3, 70, 66, 45, 53, 15, 50, 37, 70, 33, 0]"""
j10,1,proactive_robust,600,False,inf,0.06531238555908203,inf,"[0, 0, 0, 2, 7, 9, 13, 13, 24, 20, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70]","""[0, 8, 2, 8, 1, 2, 10, 8, 8, 3, 8, 70, 66, 45, 53, 15, 50, 37, 70, 33, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 8, 2, 8, 1, 2, 10, 8, 8, 3, 8, 70, 66, 45, 53, 15, 50, 37, 70, 33, 0]"
j10,1,stnu,600,True,29,0.4831254482269287,0.009973526000976562,"[0, 0, 0, 2, 8, 9, 11, 11, 21, 18, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29]","""[0, 8, 2, 8, 1, 2, 10, 8, 8, 3, 8, 70, 66, 45, 53, 15, 50, 37, 70, 33, 0]"""
j10,1,proactive_robust,600,False,inf,0.06682109832763672,inf,"[0, 0, 0, 2, 7, 9, 13, 13, 24, 20, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70]","""[0, 3, 1, 12, 2, 3, 13, 4, 7, 6, 8, 70, 66, 45, 53, 15, 50, 37, 70, 33, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 3, 1, 12, 2, 3, 13, 4, 7, 6, 8, 70, 66, 45, 53, 15, 50, 37, 70, 33, 0]"
