instance_folder,noise_factor,method,time_limit,feasibility,obj,time_offline,time_online,start_times,real_durations
j10,1,proactive_quantile_0.5,600,False,inf,0.0968470573425293,inf,"[0, 0, 3, 0, 4, 11, 16, 14, 23, 23, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69]","""[0, 5, 2, 2, 10, 4, 8, 1, 6, 5, 5, 70, 66, 45, 53, 15, 50, 37, 70, 33, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 5, 2, 2, 10, 4, 8, 1, 6, 5, 5, 70, 66, 45, 53, 15, 50, 37, 70, 33, 0]"
j10,1,stnu,600,False,inf,0.47417140007019043,inf,[],"""[0, 1, 2, 11, 11, 4, 9, 1, 10, 7, 6, 70, 66, 45, 53, 15, 50, 37, 70, 33, 0]"""
j10,1,proactive_quantile_0.5,600,False,inf,0.07046723365783691,inf,"[0, 0, 3, 0, 4, 11, 16, 14, 23, 23, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69]","""[0, 5, 1, 1, 8, 2, 10, 4, 8, 2, 6, 70, 66, 45, 53, 15, 50, 37, 70, 33, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 5, 1, 1, 8, 2, 10, 4, 8, 2, 6, 70, 66, 45, 53, 15, 50, 37, 70, 33, 0]"
j10,1,stnu,600,False,inf,0.3873019218444824,inf,[],"""[0, 1, 1, 8, 11, 1, 10, 4, 10, 4, 8, 70, 66, 45, 53, 15, 50, 37, 70, 33, 0]"""
j10,1,proactive_quantile_0.5,600,False,inf,0.05584120750427246,inf,"[0, 0, 3, 0, 4, 11, 16, 14, 23, 23, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69]","""[0, 4, 2, 2, 7, 6, 7, 4, 10, 2, 4, 70, 66, 45, 53, 15, 50, 37, 70, 33, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 4, 2, 2, 7, 6, 7, 4, 10, 2, 4, 70, 66, 45, 53, 15, 50, 37, 70, 33, 0]"
j10,1,stnu,600,False,inf,0.3767518997192383,inf,[],"""[0, 1, 2, 7, 7, 6, 11, 3, 11, 6, 4, 70, 66, 45, 53, 15, 50, 37, 70, 33, 0]"""
j10,1,proactive_quantile_0.5,600,False,inf,0.052521467208862305,inf,"[0, 0, 3, 0, 4, 11, 16, 14, 23, 23, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69]","""[0, 4, 2, 2, 9, 4, 5, 4, 9, 3, 6, 70, 66, 45, 53, 15, 50, 37, 70, 33, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 4, 2, 2, 9, 4, 5, 4, 9, 3, 6, 70, 66, 45, 53, 15, 50, 37, 70, 33, 0]"
j10,1,stnu,600,False,inf,0.4431025981903076,inf,[],"""[0, 2, 2, 12, 9, 2, 5, 4, 6, 2, 6, 70, 66, 45, 53, 15, 50, 37, 70, 33, 0]"""
j10,1,proactive_quantile_0.5,600,False,inf,0.06161022186279297,inf,"[0, 0, 3, 0, 4, 11, 16, 14, 23, 23, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69]","""[0, 3, 2, 2, 8, 4, 10, 4, 8, 2, 3, 70, 66, 45, 53, 15, 50, 37, 70, 33, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 3, 2, 2, 8, 4, 10, 4, 8, 2, 3, 70, 66, 45, 53, 15, 50, 37, 70, 33, 0]"
j10,1,stnu,600,False,inf,0.3887779712677002,inf,[],"""[0, 1, 2, 6, 10, 4, 13, 1, 9, 2, 5, 70, 66, 45, 53, 15, 50, 37, 70, 33, 0]"""
j10,1,proactive_quantile_0.5,600,False,inf,0.056082963943481445,inf,"[0, 0, 3, 0, 4, 11, 16, 14, 23, 23, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69]","""[0, 2, 1, 2, 10, 4, 9, 3, 6, 5, 4, 70, 66, 45, 53, 15, 50, 37, 70, 33, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 2, 1, 2, 10, 4, 9, 3, 6, 5, 4, 70, 66, 45, 53, 15, 50, 37, 70, 33, 0]"
