instance_folder,noise_factor,method,time_limit,feasibility,obj,time_offline,time_online,start_times,real_durations
j10,1,proactive_quantile_0.9,600,False,inf,0.07321047782897949,inf,"[0, 0, 0, 2, 1, 2, 6, 6, 11, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69]","""[0, 1, 1, 1, 2, 3, 6, 2, 9, 3, 3, 70, 66, 45, 53, 53, 46, 36, 35, 30, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 1, 1, 1, 2, 3, 6, 2, 9, 3, 3, 70, 66, 45, 53, 53, 46, 36, 35, 30, 0]"
j10,1,stnu,600,True,21,0.45433783531188965,0.008975505828857422,"[0, 0, 0, 3, 1, 3, 6, 6, 12, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21]","""[0, 1, 1, 1, 2, 3, 6, 2, 9, 3, 3, 70, 66, 45, 53, 53, 46, 36, 35, 30, 0]"""
j10,1,proactive_quantile_0.9,600,False,inf,0.07480025291442871,inf,"[0, 0, 0, 1, 1, 11, 15, 15, 25, 15, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69]","""[0, 1, 2, 8, 9, 4, 12, 5, 6, 6, 4, 70, 66, 45, 53, 53, 46, 36, 35, 30, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 1, 2, 8, 9, 4, 12, 5, 6, 6, 4, 70, 66, 45, 53, 53, 46, 36, 35, 30, 0]"
j10,1,stnu,600,True,23,0.5523622035980225,0.008979558944702148,"[0, 0, 0, 4, 2, 4, 8, 8, 15, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23]","""[0, 1, 2, 1, 2, 4, 7, 2, 8, 6, 4, 70, 66, 45, 53, 53, 46, 36, 35, 30, 0]"""
j10,1,proactive_quantile_0.9,600,False,inf,0.05461430549621582,inf,"[0, 0, 0, 2, 1, 2, 6, 6, 11, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69]","""[0, 1, 1, 1, 2, 6, 6, 2, 5, 2, 6, 70, 66, 45, 53, 53, 46, 36, 35, 30, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 1, 1, 1, 2, 6, 6, 2, 5, 2, 6, 70, 66, 45, 53, 53, 46, 36, 35, 30, 0]"
