instance_folder,noise_factor,method,time_limit,feasibility,obj,time_offline,time_online,start_times,real_durations
j10,1,proactive_quantile_0.5,600,False,inf,0.09740233421325684,inf,"[0, 0, 0, 1, 1, 11, 15, 15, 25, 15, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69]","""[0, 2, 2, 7, 13, 4, 8, 8, 6, 2, 4, 70, 66, 45, 53, 53, 46, 36, 35, 30, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 2, 2, 7, 13, 4, 8, 8, 6, 2, 4, 70, 66, 45, 53, 53, 46, 36, 35, 30, 0]"
j10,1,stnu,600,True,21,0.554753303527832,0.00879812240600586,"[0, 0, 0, 4, 2, 4, 8, 8, 15, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21]","""[0, 2, 2, 2, 2, 4, 7, 1, 6, 2, 6, 70, 66, 45, 53, 53, 46, 36, 35, 30, 0]"""
j10,1,proactive_quantile_0.5,600,False,inf,0.08348894119262695,inf,"[0, 0, 0, 2, 1, 2, 6, 6, 11, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69]","""[0, 2, 1, 1, 2, 6, 3, 1, 6, 5, 6, 70, 66, 45, 53, 53, 46, 36, 35, 30, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 2, 1, 1, 2, 6, 3, 1, 6, 5, 6, 70, 66, 45, 53, 53, 46, 36, 35, 30, 0]"
j10,1,stnu,600,True,22,0.6957995891571045,0.022938966751098633,"[0, 0, 0, 4, 2, 4, 10, 10, 16, 10, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22]","""[0, 2, 1, 1, 2, 6, 3, 1, 6, 5, 6, 70, 66, 45, 53, 53, 46, 36, 35, 30, 0]"""
j10,1,proactive_quantile_0.5,600,False,inf,0.06293678283691406,inf,"[0, 0, 0, 2, 1, 2, 6, 6, 11, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69]","""[0, 2, 1, 2, 1, 2, 5, 1, 8, 3, 5, 70, 66, 45, 53, 53, 46, 36, 35, 30, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 2, 1, 2, 1, 2, 5, 1, 8, 3, 5, 70, 66, 45, 53, 53, 46, 36, 35, 30, 0]"
j10,1,stnu,600,True,18,0.6299612522125244,0.008975982666015625,"[0, 0, 0, 3, 2, 3, 5, 5, 10, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18]","""[0, 2, 1, 2, 1, 2, 5, 1, 8, 3, 5, 70, 66, 45, 53, 53, 46, 36, 35, 30, 0]"""
j10,1,proactive_quantile_0.5,600,False,inf,0.06794214248657227,inf,"[0, 0, 0, 2, 1, 2, 6, 6, 11, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69]","""[0, 1, 1, 2, 1, 6, 6, 3, 4, 7, 6, 70, 66, 45, 53, 53, 46, 36, 35, 30, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 1, 1, 2, 1, 6, 6, 3, 4, 7, 6, 70, 66, 45, 53, 53, 46, 36, 35, 30, 0]"
j10,1,stnu,600,True,19,0.5370025634765625,0.01088857650756836,"[0, 0, 0, 2, 1, 2, 8, 8, 15, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19]","""[0, 1, 1, 2, 1, 6, 6, 3, 4, 7, 6, 70, 66, 45, 53, 53, 46, 36, 35, 30, 0]"""
j10,1,proactive_quantile_0.5,600,False,inf,0.07575464248657227,inf,"[0, 0, 0, 2, 1, 2, 6, 6, 11, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69]","""[0, 1, 2, 1, 2, 3, 5, 2, 5, 7, 2, 70, 66, 45, 53, 53, 46, 36, 35, 30, 0]"""
j10,1,reactive,600,False,inf,inf,inf,null,"[0, 1, 2, 1, 2, 3, 5, 2, 5, 7, 2, 70, 66, 45, 53, 53, 46, 36, 35, 30, 0]"
