Year;Machine;PROD;tprep (hrs);tferm (hrs);t_CIP (hrs);total_ferm
2023;F200;MAX;13,25;75,96666667;10,76666667;99,98333333
2023;F100;PI-PLC;38,51666667;51,18333333;21,98333333;111,6833333
2023;F140;GPP;11,23333333;74,63333333;25,05;110,9166667
2023;F218;FRO;17,2;95,88333333;14,83333333;127,9166667
2023;F100;INV;10,93333333;60,91666667;9,4;81,25
2023;F140;PNR;14,48333333;27,65;19,76666667;61,9
2023;F200;EDP;14,5;120,8833333;16,06666667;151,45
2023;F140;PEC KPO;20,48333333;136,6833333;9,25;166,4166667
2023;F100;MAX KPO;147,8666667;89,36666667;7,8;245,0333333
2023;F218;GOX;10,85;123,1;10,48333333;144,4333333
2023;F140;GPP;63,45;78,33333333;26,23333333;168,0166667
2023;F100;GOP;9,733333333;37,9;32,15;79,78333333
2023;F218;EDP;13,43333333;121,3833333;8,983333333;143,8
2023;F140;FUM;11,53333333;99,8;12,46666667;123,8
2023;F200;GPP;13,65;81,78333333;28,11666667;123,55
2023;F100;BXN;15,91666667;39,86666667;7,683333333;63,46666667
2023;F100;ARF;14,01666667;152,8666667;6,133333333;173,0166667
2023;F218;ASP;13,46666667;69,85;23,61666667;106,9333333
2023;F200;CIN;20,58333333;107,8333333;7,6;136,0166667
2023;F140;PBN;18,66666667;25,11666667;7,583333333;51,36666667
2023;F218;ASG;12,9;108,9;25,6;147,4
2023;F200;LYX;16,18333333;127,4166667;11,06666667;154,6666667
2023;F100;FUR;20,25;52,85;14,35;87,45
2023;F140;PBN;13,48333333;25,01666667;8,883333333;47,38333333
2023;F218;TAN;10,98333333;90,43333333;5,683333333;107,1
2023;F100;XYL;14,96666667;43,43333333;10,58333333;68,98333333
2023;F200;TAN;9,1;96,08333333;5,166666667;110,35
2023;F218;ASG;11,25;105,3666667;18,88333333;135,5
2023;F200;PLA;9,65;131,75;9,916666667;151,3166667
2023;F100;FUM;10,85;104,1333333;4,4;119,3833333
2023;F140;EDP;24,66666667;97,86666667;10,63333333;133,1666667
2023;F218;EDP;14,41666667;126,5166667;8,05;148,9833333
2023;F200;GOX;10,55;106,1833333;27,75;144,4833333
