ID,SKU Interm1,Name,MF,Fermenter,Activity density (U/g),Batch weight (kg),BU EoR,SKU EoF,Weight ratio (kg EoR/kg EoF),Broth killing (hrs),Broth killing in,Harvest tanks__Broth preparation (hrs),Harvest tanks__Process extra (hrs),Harvest tanks__Post (hrs),Harvest tanks__End weight (kg),FAM or MF__Prep (hrs),FAM or MF__Process (kg/hr/sqm),FAM or MF__Post (hrs),FAM or MF__Weight factor (at F+L),FAM or MF__Weight (kg at F+L),FAP1__Filter preps (#),FAP1__Filter prep process (hrs),UF__UF fractions (#),UF__Prep (hrs),UF__Process (kg/hr/sqm),UF__Post (hrs),UF__End weight factor,UF__Weight ccUF (kg),Stab__Process (hrs),Stab__In V300,Stab__End weight factor,Stab__Weight ccUFSTAB (kg),Stab__Transfer to IBC (hrs),Recipe not in use,UF__DCO (tons/hr),UF__Nitrogen (kg/hr),UF__Phosphorus (kg/hr),FAM or MF__Parallel,Comments
25,13102,MAXIBRIGHT CCUF STABILISED,0,V100,11370.0,5780,65.7186,13106,,8,Etanks & Fermenter,0,0,0,73394,0,54.17,0,1.629999999,119632.219926606,1,2,1,0,9.029999999,0,43.0,2782.14464945595,4,Yes,2.1,5842.50376385749,1,False,0.357,13.852,3.633,,
26,13102,MAXIBRIGHT CCUF STABILISED,0,V140,11370.0,8092,92.00604,13106,,8,Etanks & Fermenter,0,0,0,102752,0,54.17,0,1.629999999,167485.759897248,1,2,1,0,9.029999999,0,43.0,3895.01767202902,4,Yes,2.1,8179.53711126094,1,False,0.255,9.894,2.595,,
27,13102,MAXIBRIGHT CCUF STABILISED,0,V200,11370.0,12600,143.262,13106,,8,Etanks & Fermenter,0,0,0,160000,0,54.17,0,1.629999999,260799.99984,1,2,2,0,9.029999999,0,43.0,6065.11627534884,4,Yes,2.1,12736.7441782326,1,False,0.327,12.708,3.333,,
28,13102,MAXIBRIGHT CCUF STABILISED,0,V218,11370.0,12600,143.262,13106,,8,Etanks & Fermenter,0,0,0,160000,0,54.17,0,1.629999999,260799.99984,1,2,2,0,9.029999999,0,43.0,6065.11627534884,4,Yes,2.1,12736.7441782326,1,False,0.327,12.708,3.333,,
29,13136,TOLERASE AN CCUF,0,V100,37983.0,8945,339.757935,13133,,14,V01,8,0,0,105505,0,53.85,0,1.83,193074.15,1,2,2,0,5.389999999,0,22.0,8776.09772727273,4,,1.0,8776.09772727273,1,False,0.096,9.391,5.45,Can have 2,
30,13136,TOLERASE AN CCUF,0,V140,37983.0,12523,475.661109,13133,,14,V01,8,0,0,147706,0,53.85,0,1.83,270301.98,1,2,2,0,5.389999999,0,22.0,12286.4536363636,4,,1.0,12286.4536363636,1,False,0.006,0.006,0.006,Can have 2,
31,13136,TOLERASE AN CCUF,0,V200,37983.0,19500,740.6685,13133,,14,V01,8,0,0,230000,0,53.85,0,1.83,420900.0,1,2,4,0,5.389999999,0,22.0,19131.8181818182,4,,1.0,19131.8181818182,1,False,0.088,8.615,5.0,Can have 2,
32,13136,TOLERASE AN CCUF,0,V218,37983.0,24000,911.592,13133,,16,V01,8,0,0,230000,0,29.487179489,0,1.909999999,439299.99977,1,2,4,0,6.599999999,0,18.333333329,23961.8181749364,4,,1.0,23961.8181749364,1,False,0.088,8.615,5.0,Can have 2,
33,13140,MAXIBRIGHT CCUF,0,V100,23877.0,2752,65.709504,13106,,8,Etanks & Fermenter,0,0,0,73394,0,54.17,0,1.629999999,119632.219926606,1,2,1,0,9.029999999,0,43.0,2782.14464945595,4,,1.0,2782.14464945595,1,False,0.357,13.852,3.633,,
34,13140,MAXIBRIGHT CCUF,0,V140,23877.0,3853,91.998081,13106,,8,Etanks & Fermenter,0,0,0,102752,0,54.17,0,1.629999999,167485.759897248,1,2,1,0,9.029999999,0,43.0,3895.01767202902,4,,1.0,3895.01767202902,1,False,0.255,9.894,2.595,,
35,13140,MAXIBRIGHT CCUF,0,V200,23877.0,6000,143.262,13106,,8,Etanks & Fermenter,0,0,0,160000,0,54.17,0,1.629999999,260799.99984,1,2,2,0,9.029999999,0,43.0,6065.11627534884,4,,1.0,6065.11627534884,1,False,0.327,12.708,3.333,,
36,13140,MAXIBRIGHT CCUF,0,V218,23877.0,6000,143.262,13106,,8,Etanks & Fermenter,0,0,0,160000,0,54.17,0,1.629999999,260799.99984,1,2,2,0,9.029999999,0,43.0,6065.11627534884,4,,1.0,6065.11627534884,1,False,0.327,12.708,3.333,,
37,14011,"FURORE FOR GRANU, BULK",0,V100,11664.0,5963,69.552432,10996,,20,V01,20,0,0,112385,0,18.730833329,0,1.76,197797.6,1,2,1,0,5.23,0,35.320999999,5600.00000015855,4,Yes,1.007752,5643.41120015978,1,False,0.119,4.982999999,0.623,Must have 2,
38,14011,"FURORE FOR GRANU, BULK",0,V140,11664.0,8349,97.382736,10996,,20,V01,20,0,0,157339,0,43.0,0,1.76,276916.64,1,2,1,0,5.12,0,33.0,8391.41333333333,4,Yes,1.007752,8456.46356949333,1,False,0.025,1.058999999,0.32,Must have 2,
39,14011,"FURORE FOR GRANU, BULK",0,V200,11664.0,13000,151.632,10996,,20,V01,20,0,0,245000,0,43.0,0,1.76,431200.0,1,2,2,0,5.12,0,33.0,13066.6666666667,4,Yes,1.007752,13167.9594666667,1,False,0.109,4.570999999,0.571,Must have 2,
40,14011,"FURORE FOR GRANU, BULK",0,V218,11664.0,13000,151.632,10996,,20,V01,20,0,0,245000,0,43.0,0,1.76,431200.0,1,2,2,0,5.12,0,33.0,13066.6666666667,4,Yes,1.007752,13167.9594666667,1,False,0.109,4.570999999,0.571,Must have 2,
41,14825,MAX MF CCUF FOR BF,1,V100,1780.839999999,19266,34.3096634399807,4631,,4,Etanks & Fermenter,0,0,0,91743,0,2778.0,0,2.5,229357.5,1,2,3,0,2778.0,0,12.0,19113.13,4,,1.0,19113.13,1,False,0.029,2.301,1.696,,
42,14825,MAX MF CCUF FOR BF,1,V140,1780.839999999,26972,48.032816479973,4631,,4,Etanks & Fermenter,0,0,0,128440,0,2778.0,0,2.5,321100.0,1,2,5,0,2778.0,0,12.0,26758.3333333333,4,,1.0,26758.3333333333,1,False,0.021,1.643999999,1.211,,
43,14825,MAX MF CCUF FOR BF,1,V200,1780.839999999,42000,74.795279999958,4631,,4,Etanks & Fermenter,0,0,0,200000,0,2778.0,0,2.5,500000.0,1,2,9,0,2778.0,0,12.0,41666.6666666667,4,,1.0,41666.6666666667,1,False,0.021,1.643999999,1.211,,
44,14825,MAX MF CCUF FOR BF,1,V218,1780.839999999,42000,74.795279999958,4631,,4,Etanks & Fermenter,0,0,0,200000,0,2778.0,0,2.5,500000.0,1,2,9,0,2778.0,0,12.0,41666.6666666667,4,,1.0,41666.6666666667,1,False,0.021,1.643999999,1.211,,
45,14912,MAXIREN MF CCUF STAB BF,1,V100,1150.7,29817,34.3104219,4631,,4,Etanks & Fermenter,0,0,0,91743,0,2778.0,0,2.5,229357.5,1,2,3,0,2778.0,0,12.0,19113.13,4,Yes,1.547619,29579.84313747,1,False,0.029,2.301,1.696,,
46,14912,MAXIREN MF CCUF STAB BF,1,V140,1150.7,41743,48.0336701,4631,,4,Etanks & Fermenter,0,0,0,128440,0,2778.0,0,2.5,321100.0,1,2,5,0,2778.0,0,12.0,26758.3333333333,4,Yes,1.547619,41411.7050749999,1,False,0.021,1.643999999,1.211,,
47,14912,MAXIREN MF CCUF STAB BF,1,V200,1150.7,65000,74.7955,4631,,4,Etanks & Fermenter,0,0,0,200000,0,2778.0,0,2.5,500000.0,1,2,9,0,16.69,0,12.0,41666.6666666667,4,Yes,1.547619,64484.1250000001,1,False,0.021,1.643999999,1.211,,
48,14912,MAXIREN MF CCUF STAB BF,1,V218,1150.7,65000,74.7955,4631,,4,Etanks & Fermenter,0,0,0,200000,0,2778.0,0,2.5,500000.0,1,2,9,0,2778.0,0,12.0,41666.6666666667,4,Yes,1.547619,64484.1250000001,1,False,0.021,1.643999999,1.211,,
49,14915,EDP MF CCUF,1,V100,10.199999999,5500,0.0560999999945,25004,,20,Etanks & Fermenter,0,0,0,72000,0,5000.0,0,3.47,249840.0,1,2,3,0,7.87,0,45.0,5552.0,4,,1.0,5552.0,1,False,0.04,2.6,2.299999999,,
50,14915,EDP MF CCUF,1,V140,10.199999999,7700,0.0785399999923,25004,,20,Etanks & Fermenter,0,0,0,100800,0,5000.0,0,3.47,349776.0,1,2,3,0,5000.0,0,45.0,7772.8,4,,1.0,7772.8,1,False,0.029,1.857,1.643,,
51,14915,EDP MF CCUF,1,V200,10.199999999,11990,0.12229799998801,25004,,20,Etanks & Fermenter,0,0,0,156960,0,5000.0,0,3.47,544651.2,1,2,6,0,5000.0,0,45.0,12103.36,4,,1.0,12103.36,1,False,0.037,2.384999999,2.109999999,,
52,14915,EDP MF CCUF,1,V218,10.199999999,11990,0.12229799998801,25004,,20,Etanks & Fermenter,0,0,0,156960,0,5000.0,0,3.47,544651.2,1,2,6,0,5000.0,0,45.0,12103.36,4,,1.0,12103.36,1,False,0.037,2.384999999,2.109999999,,
53,14932,PGE MF CCUF,1,V100,1636.0,4000,6.544,14123,,10,V01,0,0,0,60000,0,3125.0,0,3.33,199800.0,1,2,2,0,3125.0,0,50.0,3996.0,4,,1.0,3996.0,1,False,0.016,0.016,0.016,,
54,14932,PGE MF CCUF,1,V140,1636.0,5600,9.1616,14123,,10,V01,0,0,0,84000,0,3125.0,0,3.33,279720.0,1,2,2,0,3125.0,0,50.0,5594.4,4,,1.0,5594.4,1,False,0.011,0.011,0.011,,
55,14932,PGE MF CCUF,1,V200,1636.0,8720,14.26592,14123,,10,V01,0,0,0,130800,0,3125.0,0,3.33,435564.0,1,2,4,0,3125.0,0,50.0,8711.28,4,,1.0,8711.28,1,False,0.007,0.007,0.007,,
56,14932,PGE MF CCUF,1,V218,1636.0,8720,14.26592,14123,,10,V01,0,0,0,130800,0,3125.0,0,3.33,435564.0,1,2,4,0,3125.0,0,50.0,8711.28,4,,1.0,8711.28,1,False,0.007,0.007,0.007,,
57,15024,NBA CCUF,0,V100,13150.0,6000,78.9,15015,,10,Etanks & Fermenter,24,0,0,170000,0,37.5,0,1.76,299200.0,1,2,2,0,6.25,0,50.0,5984.0,4,,1.0,5984.0,1,False,0.151,7.610999999,0.667,Can have 2,
58,15024,NBA CCUF,0,V140,13150.0,8400,110.46,15015,,10,Etanks & Fermenter,24,0,0,238000,0,37.5,0,1.76,418880.0,1,2,3,0,6.25,0,50.0,8377.6,4,,1.0,8377.6,1,False,0.151,7.610999999,0.667,Can have 2,
59,15024,NBA CCUF,0,V200,13150.0,13080,172.002,15015,,10,Etanks & Fermenter,24,0,0,370600,0,37.5,0,1.76,652256.0,1,2,4,0,6.25,0,50.0,13045.12,4,,1.0,13045.12,1,False,0.139,6.982999999,0.612,Can have 2,
60,15024,NBA CCUF,0,V218,13150.0,13080,172.002,15015,,10,Etanks & Fermenter,24,0,0,370600,0,37.5,0,1.76,652256.0,1,2,4,0,6.25,0,50.0,13045.12,4,,1.0,13045.12,1,False,0.139,6.982999999,0.612,Can have 2,
61,15255,XEA CCUF,0,V42,14368.0,14150,203.3072,15253,,10,Etanks & Fermenter,0,0,0,220000,0,32.609999999,0,2.02,444400.0,1,2,2,0,6.83,0,31.0,14335.4838709677,4,,1.0,14335.4838709677,1,False,0.008,0.008,0.008,,
62,15255,XEA CCUF,0,V140,14368.0,19810,284.63008,15253,,10,Etanks & Fermenter,0,0,0,308000,0,32.609999999,0,2.02,622160.0,1,2,2,0,5.44,0,31.0,20069.6774193548,4,,1.0,20069.6774193548,1,False,0.005,0.005,0.005,,
63,15255,XEA CCUF,0,V200,14368.0,30847,443.209696,15253,,10,Etanks & Fermenter,0,0,0,479600,0,32.609999999,0,2.02,968792.0,1,2,4,0,5.44,0,31.0,31251.3548387097,4,,1.0,31251.3548387097,1,False,0.004,0.004,0.004,,
64,15255,XEA CCUF,0,V218,14368.0,30847,443.209696,15253,,10,Etanks & Fermenter,0,0,0,479600,0,32.609999999,0,2.02,968792.0,1,2,4,0,5.44,0,31.0,31251.3548387097,4,,1.0,31251.3548387097,1,False,0.004,0.004,0.004,,
65,15256,XEA CCUF STAB,0,V42,7184.5,28300,203.32135,15253,,10,Etanks & Fermenter,0,0,0,220000,0,41.67,0,2.02,444400.0,1,2,2,0,6.95,0,31.0,14335.4838709677,4,Yes,2.0,28670.9677419354,1,False,0.008,0.008,0.008,,
66,15256,XEA CCUF STAB,0,V140,7184.5,39620,284.64989,15253,,10,Etanks & Fermenter,0,0,0,308000,0,41.67,0,2.02,622160.0,1,2,2,0,6.95,0,31.0,20069.6774193548,4,Yes,2.0,40139.3548387096,1,False,0.005,0.005,0.005,,
67,15256,XEA CCUF STAB,0,V200,7184.5,61694,443.240543,15253,,10,Etanks & Fermenter,0,0,0,479600,0,41.67,0,2.02,968792.0,1,2,4,0,6.95,0,31.0,31251.3548387097,4,Yes,2.0,62502.7096774194,1,False,0.004,0.004,0.004,,
68,15256,XEA CCUF STAB,0,V218,7184.5,61694,443.240543,15253,,10,Etanks & Fermenter,0,0,0,479600,0,41.67,0,2.02,968792.0,1,2,4,0,6.95,0,31.0,31251.3548387097,4,Yes,2.0,62502.7096774194,1,False,0.004,0.004,0.004,,
69,15536,ZBJ CCUF,0,V100,28838.0,5000,144.19,15532,,20,V01,0,0,0,80000,0,48.25,0,1.879999999,150399.99992,1,2,1,0,5.36,0,30.0,5013.33333066667,4,,1.0,5013.33333066667,1,False,0.025,0.025,0.025,,
70,15536,ZBJ CCUF,0,V140,28838.0,7000,201.866,15532,,20,V01,0,0,0,112000,0,48.25,0,1.879999999,210559.999888,1,2,1,0,5.36,0,30.0,7018.66666293333,4,,1.0,7018.66666293333,1,False,0.018,0.018,0.018,,
71,15536,ZBJ CCUF,0,V200,28838.0,10900,314.3342,15532,,20,V01,0,0,0,174400,0,48.25,0,1.879999999,327871.9998256,1,2,2,0,5.36,0,30.0,10929.0666608533,4,,1.0,10929.0666608533,1,False,0.011,0.011,0.011,,
72,15536,ZBJ CCUF,0,V218,28838.0,10900,314.3342,15532,,20,V01,0,0,0,174400,0,48.25,0,1.879999999,327871.9998256,1,2,2,0,5.36,0,30.0,10929.0666608533,4,,1.0,10929.0666608533,1,False,0.011,0.011,0.011,,
73,15537,ZBJ CCUF STABILISED,0,V100,21052.0,10000,210.52,15532,,20,V01,0,0,0,80000,0,30.0,0,1.879999999,150399.99992,1,2,1,0,3.569999999,0,30.0,5013.33333066667,4,Yes,2.0,10026.6666613333,1,False,0.025,0.025,0.025,,
74,15537,ZBJ CCUF STABILISED,0,V140,21052.0,14000,294.728,15532,,20,V01,0,0,0,112000,0,30.0,0,1.879999999,210559.999888,1,2,1,0,3.569999999,0,30.0,7018.66666293333,4,Yes,2.0,14037.3333258667,1,False,0.018,0.018,0.018,,
75,15537,ZBJ CCUF STABILISED,0,V200,21052.0,21800,458.9336,15532,,20,V01,0,0,0,174400,0,30.0,0,1.879999999,327871.9998256,1,2,2,0,3.569999999,0,30.0,10929.0666608533,4,Yes,2.0,21858.1333217066,1,False,0.011,0.011,0.011,,
76,15537,ZBJ CCUF STABILISED,0,V218,21052.0,21800,458.9336,15532,,20,V01,0,0,0,174400,0,30.0,0,1.879999999,327871.9998256,1,2,2,0,3.569999999,0,30.0,10929.0666608533,4,Yes,2.0,21858.1333217066,1,False,0.011,0.011,0.011,,
77,17276,PENGOX CCUF,0,V100,8250.0,4000,33.0,17272,,16,Etanks & Fermenter,24,0,0,90000,0,63.729999999,0,1.669999999,150299.99991,1,2,1,0,13.539999999,0,38.0,3955.26315552632,4,,1.0,3955.26315552632,1,False,0.093,4.347999999,4.129999999,,
78,17276,PENGOX CCUF,0,V140,8250.0,5600,46.2,17272,,16,Etanks & Fermenter,24,0,0,126000,0,63.729999999,0,1.669999999,210419.999874,1,2,1,0,13.539999999,0,38.0,5537.36841773684,4,,1.0,5537.36841773684,1,False,0.067,3.105999999,2.95,,
79,17276,PENGOX CCUF,0,V200,8250.0,8720,71.94,17272,,16,Etanks & Fermenter,24,0,0,196200,0,63.729999999,0,1.669999999,327653.9998038,1,2,2,0,13.539999999,0,38.0,8622.47367904737,4,,1.0,8622.47367904737,1,False,0.086,3.988999999,3.789,,
80,17276,PENGOX CCUF,0,V218,8250.0,8720,71.94,17272,,16,Etanks & Fermenter,24,0,0,196200,0,63.729999999,0,1.669999999,327653.9998038,1,2,2,0,13.539999999,0,38.0,8622.47367904737,4,,1.0,8622.47367904737,1,False,0.086,3.988999999,3.789,,
81,17291,MAXILACT GPP CCUF STAB,0,V100,13333.4,14850,198.00099,17235,,20,V01,20,0,0,115714,0,42.67,0,1.85,214070.9,1,2,3,0,7.11,0,25.0,8562.836,4,Yes,1.724167,14763.759257612,1,False,0.077,5.245,0.375,Can have 2,
82,17291,MAXILACT GPP CCUF STAB,0,V140,13333.4,20790,277.201386,17235,,20,V01,20,0,0,162000,0,42.67,0,1.85,299700.0,1,2,3,0,7.019999999,0,25.0,11988.0,4,Yes,1.724167,20669.313996,1,False,0.055,3.746,0.268,Can have 2,
83,17291,MAXILACT GPP CCUF STAB,0,V200,13333.4,32373,431.6421582,17235,,21,V01,21,0,0,202429,0,19.27895238,0,1.98,400809.42,1,2,4,0,6.0,0,18.18181818,22044.5181022044,4,Yes,1.724167,38008.4306427235,1,False,0.055,3.746,0.268,Can have 2,
84,17291,MAXILACT GPP CCUF STAB,0,V218,13333.4,32373,431.6421582,17235,,20,V01,20,0,0,252257,0,42.67,0,1.85,466675.45,1,2,5,0,7.11,0,25.0,18667.018,4,Yes,1.724167,32185.056424006,1,False,0.055,3.746,0.268,Can have 2,
85,17516,MAM CCUF STABILISED,0,V100,11931.5,14600,174.1999,10998,,8,Etanks & Fermenter,24,0,0,176400,0,42.67,0,1.639999999,289295.9998236,1,2,3,0,7.11,0,40.0,7232.39999559,4,Yes,2.0,14464.79999118,1,False,0.151,7.610999999,0.667,Can have 2,
86,17516,MAM CCUF STABILISED,0,V140,11931.5,20440,243.87986,10998,,8,Etanks & Fermenter,24,0,0,246960,0,42.67,0,1.639999999,405014.39975304,1,2,3,0,7.11,0,40.0,10125.359993826,4,Yes,2.0,20250.719987652,1,False,0.151,7.610999999,0.667,Can have 2,
87,17516,MAM CCUF STABILISED,0,V200,11931.5,31828,379.755782,10998,,8,Etanks & Fermenter,24,0,0,384552,0,42.67,0,1.639999999,630665.279615448,1,2,6,0,7.11,0,40.0,15766.6319903862,4,Yes,2.0,31533.2639807724,1,False,0.139,6.982999999,0.612,Can have 2,
88,17516,MAM CCUF STABILISED,0,V218,11931.5,31828,379.755782,10998,,8,Etanks & Fermenter,24,0,0,384552,0,42.67,0,1.639999999,630665.279615448,1,2,6,0,7.11,0,40.0,15766.6319903862,4,Yes,2.0,31533.2639807724,1,False,0.139,6.982999999,0.612,Can have 2,
89,17930,ASG CCDF,0,V100,11982.0,3000,35.946,14469,,10,Etanks & Fermenter,0,0,0,93000,0,41.67,0,1.61,149730.0,1,2,1,0,6.95,0,50.0,2994.6,4,,1.0,2994.6,1,False,0.085,8.570999999,6.429,,
90,17930,ASG CCDF,0,V140,11982.0,4200,50.3244,14469,,10,Etanks & Fermenter,0,0,0,130200,0,41.67,0,1.61,209622.0,1,2,1,0,6.95,0,50.0,4192.44,4,,1.0,4192.44,1,False,0.06,6.121999999,4.591999999,,
91,17930,ASG CCDF,0,V200,11982.0,6540,78.36228,14469,,10,Etanks & Fermenter,0,0,0,202740,0,41.67,0,1.61,326411.4,1,2,2,0,6.95,0,50.0,6528.228,4,,1.0,6528.228,1,False,0.085,8.570999999,6.429,,
92,17930,ASG CCDF,0,V218,11982.0,6540,78.36228,14469,,10,Etanks & Fermenter,0,0,0,202740,0,41.67,0,1.61,326411.4,1,2,2,0,9.8,0,50.0,6528.228,4,,1.0,6528.228,1,False,0.085,8.570999999,6.429,,
93,19765,ASG MF CCUF,1,V100,11982.0,3000,35.946,14469,,32,Etanks & Fermenter,0,0,0,75000,0,3833.0,0,3.069999999,230249.999925,1,2,1,0,4600.0,0,77.0,2990.25973928571,4,,1.0,2990.25973928571,1,False,0.118,12.0,9.0,,
